maKhachHang,ho,ten,ngaySinh,soDienThoai,email
KH001,Nguyễn,An,1990-05-15,0901234567,nguyenan@gmail.com
KH002,Trần,Bình,1985-10-20,0912345678,binhtran@yahoo.com
KH003,Lê,Chi,1995-03-12,0983456789,chile@hotmail.com
KH004,Phạm,Dũng,1988-12-30,0974567890,dungpham@gmail.com
KH005,Hoàng,Em,2000-01-25,0965678901,emhoang@gmail.com
KH006,Vũ,Phi,1992-07-08,0956789012,phivu@outlook.com
KH007,Đặng,Giang,1983-11-14,0947890123,giangdang@gmail.com
KH008,Bùi,Hạnh,1997-09-02,0938901234,hanhbui@gmail.com
KH009,Đỗ,Hùng,1991-04-18,0929012345,hungdo@yahoo.com
KH010,Ngô,Lan,1986-08-22,0910123456,lanngo@gmail.com
KH011,Lý,Minh,1994-12-05,0909876543,minhly@gmail.com
KH012,Trịnh,Nam,1989-02-28,0918765432,namtrinh@gmail.com
KH013,Mai,Oanh,1993-06-17,0927654321,oanhmai@hotmail.com
KH014,Đào,Phương,1996-10-10,0936543210,phuongdao@gmail.com
KH015,Lương,Quân,1987-01-15,0945432109,quanluong@gmail.com
KH016,Thái,Sơn,1998-05-20,0954321098,sonthai@gmail.com
KH017,Phan,Thảo,1990-09-25,0963210987,thaophan@outlook.com
KH018,Tô,Uyên,1994-03-30,0972109876,uyento@gmail.com
KH019,Hà,Vinh,1982-08-12,0981098765,vinhha@gmail.com
KH020,Đoàn,Xuân,1999-11-07,0990098764,xuandoan@gmail.com
